"","DIAMETER","TREAT","SITE","PLOT","REP","SPP","DBH","stem.bio","branch.bio","new.bio","tot.s.b.n","total.agb"
"59",1.6742,"Subsidence","HEATHER",6,4,"salix",NA,71.7998878214649,17.2306019993239,9.56445845316568,98.5949482739545,101.157175045034
"60",3.4382,"Subsidence","HEATHER",6,5,"salix",NA,558.234394448037,155.820026575806,45.9158116249893,759.970232648833,775.245121575012
"61",0.8482,"Subsidence","HEATHER",7,5,"salix",NA,10.3393423991759,2.15107076785289,2.17213399977997,14.6625471668087,14.7663115069316
"62",1.1688,"Subsidence","HEATHER",8,2,"salix",NA,25.7829396410019,5.73766276788332,4.36952301717165,35.8901254260569,36.5869916654807
"63",1.2058,"Subsidence","HEATHER",8,3,"salix",NA,28.1778206295776,6.31178727254797,4.67671062456738,39.166318526693,39.9605050247036
"64",1.6206,"Subsidence","HEATHER",8,4,"salix",NA,65.4408575978162,15.5976098076798,8.9095077181499,89.9479751236458,92.2581069425246
"65",0.9538,"Subsidence","HEATHER",8,5,"salix",NA,14.4452881738122,3.08027429279599,2.80528727986307,20.3308497464712,20.5819319231181
"66",0.8482,"Burned","HEATHER",7,5,"salix",NA,10.3393423991759,2.15107076785289,2.17213399977997,14.6625471668087,14.7663115069316
"67",1.2222,"Burned","HEATHER",7,1,"salix",NA,29.2838618812495,6.57817424262024,4.81648883709564,40.6785249609653,41.5178234551828
"68",1.0388,"Burned","HEATHER",7,2,"salix",NA,18.4242104329987,3.99979503809857,3.37909203243076,25.803097503528,26.2063972555497
"69",0.7768,"Burned","HEATHER",7,3,"salix",NA,8.04737281773393,1.64360026149917,1.79322374879784,11.4841968280309,11.5132255024295
"70",1.271,"Burned","HEATHER",7,4,"salix",NA,32.7406783038957,7.41541366048984,5.24563042055963,45.4017223849452,46.3824660372191
"71",0.8242,"Burned","HEATHER",5,2,"salix",NA,9.52721119580645,1.97019759751514,2.04038197958453,13.5377907729061,13.6142654441995
"72",1.766,"Burned","HEATHER",5,3,"salix",NA,83.5980883373396,20.2881075121857,10.7448439714075,114.631039820933,117.653704473317
"73",1.9032,"Burned","HEATHER",5,4,"salix",NA,103.467385784312,25.5077616857653,12.648424836992,141.623572307069,145.399482676235
"74",1.3626,"Burned","HEATHER",5,5,"salix",NA,39.9229614775729,9.17523623504207,6.10496906254934,55.2031667751643,56.4786692867713
"75",1.2408,"Burned","HEATHER",5,1,"salix",NA,30.5719358955005,6.88933747878766,4.97771789440229,42.4389912686904,43.3309267969453
"76",0.7714,"Burned","HEATHER",6,1,"salix",NA,7.8889610527118,1.60888750786122,1.76615978716602,11.264008347739,11.2881635441002
"77",1.6534,"Burned","HEATHER",6,2,"salix",NA,69.2867137659999,16.5838924973871,9.30731223601741,95.1779184994044,97.6408335729963
"78",2.336,"Burned","HEATHER",6,3,"salix",NA,185.532690751304,47.750385665563,19.7711156651217,253.054192081989,259.657014877745
"79",1.8624,"Burned","HEATHER",6,4,"salix",NA,97.2704215528768,23.8711457610362,12.0647811472767,133.20634846119,136.75033924268
"80",0.7936,"Burned","HEATHER",6,5,"salix",NA,8.55337636295945,1.7548139369207,1.87884955373186,12.187039853612,12.2319197337575
"81",0.9344,"Burned","HEATHER",8,1,"salix",NA,13.6235853978013,2.89254721766887,2.68239022578526,19.1985228412554,19.4191329654097
"82",1.2614,"Burned","HEATHER",8,2,"salix",NA,32.0408043130318,7.24535463511624,5.15964178426963,44.4458007324176,45.3978647448479
"83",0.783,"Burned","HEATHER",8,3,"salix",NA,8.23178228109822,1.68407329784724,1.82457210270109,11.7404276816465,11.7751843151798
"84",0.9604,"Burned","HEATHER",8,4,"salix",NA,14.731992362053,3.1459627875849,2.84777766172229,20.7257328113602,20.9875389721122
"85",0.637,"Burned","HEATHER",8,5,"salix",NA,4.57162117603489,0.895605312255473,1.16354812730798,6.63077461559835,6.56653888985661
"86",0.7484,"Unburned","HEATHER",5,4,"salix",NA,7.23692585651631,1.46655839808293,1.65337751385587,10.3568617684551,10.3614496574921
"87",0.411,"Unburned","HEATHER",5,5,"salix",NA,1.31136034281547,0.234318173248339,0.447646878777455,1.99332539484127,1.90017798907272
"88",0.3082,"Unburned","HEATHER",6,2,"salix",NA,0.57735889561363,0.097113109277521,0.239009702868534,0.913481707759684,0.841430562569883
"89",0.9622,"Unburned","HEATHER",6,4,"salix",NA,14.810820154011,3.16404008441676,2.85942597260753,20.8342862110353,21.0990487186343
"90",0.4554,"Unburned","HEATHER",7,1,"salix",NA,1.7566813009786,0.320724885222816,0.559831313189926,2.63723749939134,2.54023673131274
"91",0.4752,"Unburned","HEATHER",7,2,"salix",NA,1.98321904661146,0.365335503985719,0.61425826782165,2.96281281841883,2.86538002914784
"92",0.3568,"Unburned","HEATHER",7,3,"salix",NA,0.876362254270427,0.152009253353753,0.328886882853376,1.35725839047756,1.27345686955223
"93",0.2022,"Unburned","HEATHER",7,4,"salix",NA,0.173679729739732,0.0267387019820919,0.0953593536553022,0.295777785377126,0.255259894395602
"94",0.3148,"Unburned","HEATHER",7,5,"salix",NA,0.613298377966114,0.103618249810439,0.250308781834132,0.967225409610685,0.893429308558265
"95",0.4302,"Unburned","HEATHER",8,1,"salix",NA,1.49359726890159,0.269452017997323,0.494494965336566,2.25754425223548,2.16226628321903
"96",0.6372,"Unburned","HEATHER",8,2,"salix",NA,4.57571313982006,0.896466046517159,1.16434467512668,6.6365238614639,6.57237519887103
"97",0.4644,"Unburned","HEATHER",8,3,"salix",NA,1.85744368353731,0.340518070484816,0.584232091953881,2.78219384597601,2.68489239342488
"98",0.5622,"Unburned","HEATHER",8,4,"salix",NA,3.20229805220697,0.611105190207704,0.886180976766224,4.69958421918089,4.61118990090084
"99",0.5372,"Unburned","HEATHER",8,5,"salix",NA,2.81293997537243,0.531699399964466,0.802521872373811,4.14716124771071,4.05421539533755
"100",1.4268,"Subsidence","INGRID",13,1,"salix",NA,45.5205698842548,10.5633358031167,6.74950538974832,62.8334110771199,64.3382882423208
"101",1.3292,"Subsidence","INGRID",13,2,"salix",NA,37.1967761802717,8.50425777519119,5.78345437868341,51.4844883341463,52.6480837264783
"102",0.6778,"Subsidence","INGRID",13,3,"salix",NA,5.4564767924949,1.08298087030493,1.33217659612954,7.87163425892937,7.82779339946094
"103",0.6534,"Subsidence","INGRID",13,4,"salix",NA,4.91511150177798,0.96805077325589,1.22984645246088,7.11300872749474,7.05632971452909
"104",1.1168,"Subsidence","INGRID",14,1,"salix",NA,22.646586925462,4.99177197092919,3.95682435814664,31.5951832545378,32.1656494159697
"105",1.064,"Subsidence","INGRID",14,2,"salix",NA,19.7267932659038,4.30418945857997,3.56035364493664,27.5913363694204,28.0457290695687
"106",0.7686,"Subsidence","INGRID",14,3,"salix",NA,7.8076248369219,1.59108419302031,1.75221428939816,11.1509233193404,11.1725936315773
"107",0.7514,"Subsidence","INGRID",14,4,"salix",NA,7.31991009784377,1.48462182806397,1.66785996780149,10.4723918937092,10.4794236275117
"108",0.5446,"Subsidence","INGRID",14,5,"salix",NA,2.92478616028621,0.554431079325633,0.826817457328018,4.30603469693986,4.21426304573584
"109",1.1216,"Subsidence","INGRID",15,1,"salix",NA,22.9250955972256,5.05771414382051,3.99399236550653,31.9768021065527,32.5584310742518
"110",1.5734,"Subsidence","INGRID",15,2,"salix",NA,60.153987217862,14.2487833849869,8.3535240432938,82.7562946461428,84.8548577763378
"111",0.8552,"Subsidence","INGRID",15,3,"salix",NA,10.5843885997211,2.20585588907111,2.2114033238551,15.0016478126473,15.1137939160142
"112",0.6884,"Subsidence","INGRID",15,4,"salix",NA,5.70320929208365,1.13564615448632,1.37801348472491,8.21686893129488,8.1792138962571
"113",0.6284,"Subsidence","INGRID",15,5,"salix",NA,4.39790613795522,0.859117761254809,1.1295754723181,6.38659937152813,6.318737390901
"114",1.333,"Subsidence","INGRID",16,1,"salix",NA,37.5006486156142,8.57887332629192,5.81955952564082,51.8990814675469,53.0751524176203
"115",1.022,"Subsidence","INGRID",16,2,"salix",NA,17.5876537324771,3.80513210581178,3.26109418382611,24.653880022115,25.0246471319615
"116",0.724,"Subsidence","INGRID",16,3,"salix",NA,6.5845752801299,1.32510413907615,1.53812086436852,9.44780028357458,9.43370018101155
"117",0.7872,"Subsidence","INGRID",16,4,"salix",NA,8.3582498081515,1.71186833756975,1.84597525571425,11.9160934014355,11.9548111214368
"118",0.7646,"Subsidence","INGRID",16,5,"salix",NA,7.69237752958531,1.56588165664125,1.73239590808225,10.9906550943088,11.0088252588755
"119",1.0922,"Burned","INGRID",13,1,"salix",NA,21.2536754428416,4.66288435851945,3.76928628643741,29.6858460877984,30.2007045361989
"120",0.9122,"Burned","INGRID",13,2,"salix",NA,12.7212429575306,2.68735849721371,2.54540408679429,17.9540055415386,18.1416514761644
"121",1.1646,"Burned","INGRID",13,3,"salix",NA,25.5197663030956,5.67480525768277,4.33536614642417,35.5299377072025,36.2161458854659
"122",2.6912,"Burned","INGRID",14,1,"salix",NA,277.727496796507,73.6350657209662,26.9179890797995,378.280551597273,387.586849992575
"123",0.4278,"Burned","INGRID",14,2,"salix",NA,1.46997205026029,0.264878547048599,0.488500811986688,2.22335140929558,2.12830240231552
"124",0.9608,"Burned","INGRID",14,3,"salix",NA,14.7494860545035,3.14997393979343,2.85036395113359,20.7498239454305,21.012285899522
"125",0.6108,"Burned","INGRID",14,4,"salix",NA,4.05587988121628,0.787591508008584,1.06174511350839,5.90521650273325,5.83063932616412
"126",0.6874,"Burned","INGRID",14,5,"salix",NA,5.67962952036918,1.13060565418057,1.37365338165415,8.1838885562039,8.14563397007717
"127",1.1608,"Burned","INGRID",16,1,"salix",NA,25.2831651765119,5.61833511976596,4.30458729750872,35.2060875937866,35.8827209363899
"128",1.0424,"Burned","INGRID",16,2,"salix",NA,18.6067662284914,4.04236262884601,3.40467284518872,26.0538017025261,26.4642314928052
"129",0.9956,"Burned","INGRID",16,3,"salix",NA,16.3235564029039,3.51228504940546,3.08024630112447,22.9160877534339,23.2381826038892
"130",0.7974,"Burned","INGRID",16,4,"salix",NA,8.67061919485086,1.78065287741108,1.89851736282136,12.3497894350833,12.3984005218859
"131",0.5858,"Burned","INGRID",16,5,"salix",NA,3.60046464343971,0.693047597023706,0.969290619617285,5.2628028600807,5.18027287032973
"132",0.8588,"Unburned","INGRID",13,1,"salix",NA,10.7118665984904,2.23439333592071,2.23174734605544,15.1780072804666,15.2945388995623
"133",0.7898,"Unburned","INGRID",13,2,"salix",NA,8.43716752488001,1.72922861651868,1.85929255854735,12.025688699946,12.0668913779533
"134",0.603,"Unburned","INGRID",13,5,"salix",NA,3.91000392333134,0.757218076708075,1.03240982644341,5.69963182648283,5.6223764475184
