site,trt,plot,rep,n,c,delta.n,delta.c,CN
IN,T,14,1,1.622557909,49.47377854,-1.372605117,-28.33099912,30.49122516
IN,T,14,2,1.915000356,48.45743612,-2.73126144,-26.62965249,25.30413948
IN,T,14,3,1.342126996,47.83838961,-0.249145565,-27.98833616,35.64371312
IN,T,14,4,1.511594224,48.02056876,-0.897060095,-29.22742933,31.76816106
IN,T,14,5,1.608915972,48.62736051,-1.801758399,-28.04029394,30.22367939
IN,T,15,1,1.664126528,48.03530053,-2.136595424,-27.73960357,28.86517324
IN,T,15,2,1.370182954,48.4005381,-3.555601322,-28.4471119,35.32414263
IN,T,15,3,1.415952124,48.20025233,-2.196158462,-28.56800033,34.04087717
IN,T,15,4,1.532792109,48.13495566,-2.374710835,-28.29608436,31.40344694
IN,T,15,5,1.667224484,48.03154289,-3.686093781,-29.17661817,28.80928354
IN,T,16,1,1.622379341,49.08700568,-1.561922181,-28.88488065,30.25618266
IN,T,16,2,1.623373321,48.59949122,-2.777109671,-28.58424432,29.93734749
IN,T,16,3,1.873026359,48.35770733,-1.959331862,-28.36942862,25.81795344
IN,T,16,4,1.589979365,49.67564421,-2.904474987,-27.44749518,31.242949
IN,T,16,5,1.459601629,47.53812096,-2.62630792,-27.96127861,32.56924356
IN,S,13,1,1.770663635,47.40536088,-0.981467586,-27.40232311,26.77265176
IN,S,13,2,1.446899077,48.51943201,-1.427234615,-27.77327119,33.53339067
IN,S,13,3,1.200213272,48.4375057,-0.877897622,-27.82577782,40.35741549
IN,S,13,4,1.542984754,47.0541548,-1.319978749,-28.04567788,30.49554098
IN,S,13,5,1.27297472,47.29334925,-2.381653807,-27.46008627,37.15183696
IN,S,14,1,1.590368242,48.27504968,-3.34805085,-28.97329769,30.35463637
IN,S,14,2,1.446600111,47.55257741,-4.479873489,-29.21156764,32.87195753
IN,S,14,3,1.326247978,46.85122597,-2.448497865,-28.20722076,35.32614319
IN,S,14,4,1.545022625,46.83010825,-2.583430624,-29.3718279,30.31030581
IN,S,14,5,2.175278337,46.87026132,-3.342226372,-26.06669954,21.54678807
IN,S,15,1,1.559177209,47.38410263,-3.636430893,-29.1721689,30.3904536
IN,S,15,2,1.908219237,46.82115784,-2.715448351,-28.29922407,24.53657155
IN,S,15,3,1.935956624,46.34736592,-2.844033196,-27.94322381,23.94029151
IN,S,15,4,1.650449561,46.81564886,-2.643626131,-28.77921233,28.36539205
IN,S,15,5,1.745057877,46.18084181,-2.939050618,-29.02260942,26.46378806
IN,S,16,1,1.464692998,47.69996975,-3.966037929,-26.6910727,32.56653088
IN,S,16,2,1.677502176,47.61178705,-3.20555298,-28.90494474,28.38254861
IN,S,16,3,1.187791526,46.5036787,-4.611300482,-29.03835803,39.1513811
IN,S,16,4,1.779589773,46.36876041,-2.952438425,-28.27640906,26.05587035
IN,S,16,5,1.856454108,46.67416722,-3.779497543,-27.87195049,25.14156801
MK,U,17,1,2.559885092,49.11149219,-0.133191672,-29.9700614,19.18503778
MK,U,17,2,2.038482895,48.86105047,-2.276577736,-28.18036145,23.96932081
MK,U,17,3,2.178028081,49.73096563,0.835496364,-27.5529179,22.83302317
MK,U,17,4,1.770163525,47.49451677,-1.277024745,-29.87358508,26.83058152
MK,U,17,5,2.357777779,48.09114538,0.43642659,-29.23194468,20.39681
MK,U,18,1,2.381450959,48.56831158,0.064450705,-28.59282783,20.39442022
MK,U,18,2,2.486330452,48.91673288,0.563958629,-29.4955014,19.6742685
MK,U,18,3,2.07320447,49.45106402,0.075729762,-29.7763415,23.852478
MK,U,18,4,2.63632783,49.1239651,0.59218906,-31.2774443,18.63348122
MK,U,18,5,2.360802452,48.09196517,0.186889675,-29.03071616,20.37102475
MK,U,19,1,2.146255537,48.53568881,0.430827782,-29.86503475,22.61412398
MK,U,19,2,2.265657167,48.51236671,0.098215848,-29.43728022,21.41205096
MK,U,19,3,2.354196501,48.90212396,0.003184088,-29.12847531,20.77232038
MK,U,19,4,2.006884452,47.20533121,-1.206030744,-29.49594845,23.5216986
MK,U,19,5,2.493325186,47.71663836,-0.096685365,-29.76435413,19.13775172
MK,U,20,1,2.212060861,48.26035097,-0.911697754,-29.15500858,21.81691825
MK,U,20,2,1.824561604,48.2731376,0.984056279,-31.12443226,26.45738982
MK,U,20,3,2.083520058,47.96185984,-0.552954296,-29.41642832,23.01962952
MK,U,20,4,1.911641017,48.05336291,-0.845064115,-28.54632402,25.13723156
