YEAR,SERIES,BAI,TREAT,SITE,PLOT,REP
2001,alt1.3,NA,nothing,ALY,3,2
2001,alt1.4,NA,nothing,ALY,4,2
2001,alt1.5,NA,nothing,ALY,4,5
2001,alt2.2,NA,sub,HEATHER,5,4
2001,alt2.4,NA,sub,HEATHER,6,2
2001,alt2.5,NA,sub,HEATHER,7,5
2001,alt3.1,NA,sub,HEATHER,8,5
2001,alt3.3,NA,fire,HEATHER,7,2
2001,alt3.2,NA,fire,HEATHER,5,2
2001,alt3.4,NA,fire,HEATHER,5,1
2001,alt3.5,NA,fire,HEATHER,6,4
2001,alt4.3,NA,fire,HEATHER,8,3
2001,alt4.1,NA,nothing,HEATHER,5,4
2001,alt4.2,NA,nothing,HEATHER,6,2
2001,alt4.5,NA,nothing,HEATHER,7,2
2001,alu1.1,NA,nothing,HEATHER,7,4
2001,alu1.3,NA,nothing,HEATHER,7,5
2001,alu1.4,NA,nothing,HEATHER,8,2
2001,alu1.5,NA,nothing,HEATHER,8,4
2001,alu2.1,NA,sub,INGRID,13,1
2001,alu2.3,NA,sub,INGRID,13,4
2001,alu2.4,NA,sub,INGRID,14,4
2001,alu2.5,NA,sub,INGRID,15,3
2001,alu3.1,NA,sub,INGRID,16,2
2001,alu3.2,NA,fire,INGRID,13,1
2001,alu3.3,NA,fire,INGRID,14,2
2001,alu3.4,NA,fire,INGRID,14,4
2001,alu4.2,NA,fire,INGRID,16,3
2001,alu4.3,NA,nothing,INGRID,13,1
2001,alu4.5,NA,nothing,INGRID,13,5
2001,hes5.1,NA,nothing,INGRID,14,3
2001,hes5.2,NA,nothing,INGRID,14,5
2001,hes5.3,NA,nothing,INGRID,15,2
2001,hes5.4,NA,nothing,INGRID,15,4
2001,hes5.5,NA,nothing,INGRID,16,2
2001,hes6.1,NA,nothing,INGRID,16,4
2001,hes6.2,NA,sub,MIKE,17,4
2001,hes6.3,NA,sub,MIKE,18,3
2001,hes6.4,NA,sub,MIKE,19,1
2001,hes6.5,NA,sub,MIKE,20,1
